variavel,arquivo,linha,contexto,observacao
APP_URL,.env.example,14,declaração local,valor não inventariado
APP_URL,.env.local,13,declaração local,valor não inventariado
APP_URL,playwright.config.ts,19,CLI/configuração,consumo process.env
APP_URL,src/app/(painel)/contratos/acoes.ts,420,servidor,consumo process.env
APP_URL,src/app/(painel)/contratos/acoes.ts,583,servidor,consumo process.env
APP_URL,src/app/(painel)/documentos/acoes.ts,236,servidor,consumo process.env
APP_URL,src/app/(painel)/documentos/acoes.ts,456,servidor,consumo process.env
APP_URL,src/app/(painel)/documentos/acoes.ts,510,servidor,consumo process.env
APP_URL,src/app/(painel)/pessoas/acoes.ts,160,servidor,consumo process.env
APP_URL,src/app/api/coleta/[token]/documento/route.ts,168,servidor,consumo process.env
APP_URL,src/app/api/contratos/publico/[token]/assinatura/route.ts,20,servidor,consumo process.env
APP_URL,src/lib/cron/rota.ts,28,servidor,consumo process.env
CRON_SECRET,.env.example,15,declaração local,valor não inventariado
CRON_SECRET,.env.local,14,declaração local,valor não inventariado
CRON_SECRET,src/lib/cron/rota.ts,16,servidor,consumo process.env
CRON_SECRET,tests/integration/gate-fase4-cron.test.ts,174,teste (não executado),consumo process.env
DATABASE_URL,.env.example,5,declaração local,valor não inventariado
DATABASE_URL,.env.local,5,declaração local,valor não inventariado
DATABASE_URL,drizzle.config.ts,10,CLI/configuração,consumo process.env
DATABASE_URL,scripts/aplicar-sql.mjs,23,CLI/configuração,consumo process.env
DATABASE_URL,src/db/client.ts,15,CLI/configuração,consumo process.env
DATABASE_URL,tests/integration/contratos-paginacao-evidencias.test.ts,8,teste (não executado),consumo process.env
DATABASE_URL,tests/integration/excluir-contrato.test.ts,7,teste (não executado),consumo process.env
DATABASE_URL,tests/integration/filtro-status-contrato.test.ts,7,teste (não executado),consumo process.env
DATABASE_URL,tests/integration/gate-fase4-cron.test.ts,187,teste (não executado),consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,.env.example,3,declaração local,valor não inventariado
NEXT_PUBLIC_SUPABASE_ANON_KEY,.env.local,3,declaração local,valor não inventariado
NEXT_PUBLIC_SUPABASE_ANON_KEY,src/lib/supabase/client.ts,16,browser,consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,src/lib/supabase/server.ts,17,servidor,consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,src/middleware.ts,62,middleware,consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,tests/e2e/_sessao.ts,23,teste (não executado),consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,tests/e2e/_sessao.ts,106,teste (não executado),consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,tests/e2e/atividade-offline.spec.ts,87,teste (não executado),consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,tests/integration/assinatura-contrato.test.ts,30,teste (não executado),consumo process.env
NEXT_PUBLIC_SUPABASE_ANON_KEY,tests/integration/autoinscricao-publica.test.ts,21,teste (não executado),consumo process.env
