caminho_lockfile,pacote,versao,dependencia_direta,grupo_direto,dev,devOptional,optional,hasInstallScript
node_modules/@alloc/quick-lru,@alloc/quick-lru,5.3.0,False,,True,False,False,False
node_modules/@babel/code-frame,@babel/code-frame,7.29.7,False,,False,False,False,False
node_modules/@babel/generator,@babel/generator,7.29.8,False,,False,False,False,False
node_modules/@babel/generator/node_modules/@babel/parser,@babel/parser,7.29.8,False,,False,False,False,False
node_modules/@babel/helper-globals,@babel/helper-globals,7.29.7,False,,False,False,False,False
node_modules/@babel/helper-string-parser,@babel/helper-string-parser,7.29.7,False,,False,False,False,False
node_modules/@babel/helper-validator-identifier,@babel/helper-validator-identifier,7.29.7,False,,False,False,False,False
node_modules/@babel/parser,@babel/parser,7.29.2,False,,False,False,False,False
node_modules/@babel/template,@babel/template,7.29.7,False,,False,False,False,False
node_modules/@babel/template/node_modules/@babel/parser,@babel/parser,7.29.8,False,,False,False,False,False
node_modules/@babel/traverse,@babel/traverse,7.29.0,False,,False,False,False,False
node_modules/@babel/types,@babel/types,7.29.8,False,,False,False,False,False
node_modules/@drizzle-team/brocli,@drizzle-team/brocli,0.10.2,False,,True,False,False,False
node_modules/@ecies/ciphers,@ecies/ciphers,0.2.6,False,,True,False,False,False
node_modules/@emnapi/core,@emnapi/core,1.10.0,False,,True,False,True,False
node_modules/@emnapi/runtime,@emnapi/runtime,1.11.3,False,,False,False,True,False
node_modules/@emnapi/wasi-threads,@emnapi/wasi-threads,1.2.1,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils,@esbuild-kit/core-utils,3.3.2,False,,True,False,False,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/android-arm,@esbuild/android-arm,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/android-arm64,@esbuild/android-arm64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/android-x64,@esbuild/android-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/darwin-arm64,@esbuild/darwin-arm64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/darwin-x64,@esbuild/darwin-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/freebsd-arm64,@esbuild/freebsd-arm64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/freebsd-x64,@esbuild/freebsd-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-arm,@esbuild/linux-arm,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-arm64,@esbuild/linux-arm64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-ia32,@esbuild/linux-ia32,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-loong64,@esbuild/linux-loong64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-mips64el,@esbuild/linux-mips64el,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-ppc64,@esbuild/linux-ppc64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-riscv64,@esbuild/linux-riscv64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-s390x,@esbuild/linux-s390x,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/linux-x64,@esbuild/linux-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/netbsd-x64,@esbuild/netbsd-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/openbsd-x64,@esbuild/openbsd-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/sunos-x64,@esbuild/sunos-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/win32-arm64,@esbuild/win32-arm64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/win32-ia32,@esbuild/win32-ia32,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/@esbuild/win32-x64,@esbuild/win32-x64,0.18.20,False,,True,False,True,False
node_modules/@esbuild-kit/core-utils/node_modules/esbuild,esbuild,0.18.20,False,,True,False,False,True
node_modules/@esbuild-kit/esm-loader,@esbuild-kit/esm-loader,2.6.5,False,,True,False,False,False
node_modules/@esbuild/aix-ppc64,@esbuild/aix-ppc64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/android-arm,@esbuild/android-arm,0.28.2,False,,False,False,True,False
node_modules/@esbuild/android-arm64,@esbuild/android-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/android-x64,@esbuild/android-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/darwin-arm64,@esbuild/darwin-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/darwin-x64,@esbuild/darwin-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/freebsd-arm64,@esbuild/freebsd-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/freebsd-x64,@esbuild/freebsd-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-arm,@esbuild/linux-arm,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-arm64,@esbuild/linux-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-ia32,@esbuild/linux-ia32,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-loong64,@esbuild/linux-loong64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-mips64el,@esbuild/linux-mips64el,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-ppc64,@esbuild/linux-ppc64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-riscv64,@esbuild/linux-riscv64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-s390x,@esbuild/linux-s390x,0.28.2,False,,False,False,True,False
node_modules/@esbuild/linux-x64,@esbuild/linux-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/netbsd-arm64,@esbuild/netbsd-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/netbsd-x64,@esbuild/netbsd-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/openbsd-arm64,@esbuild/openbsd-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/openbsd-x64,@esbuild/openbsd-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/openharmony-arm64,@esbuild/openharmony-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/sunos-x64,@esbuild/sunos-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/win32-arm64,@esbuild/win32-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/win32-ia32,@esbuild/win32-ia32,0.28.2,False,,False,False,True,False
node_modules/@esbuild/win32-x64,@esbuild/win32-x64,0.28.2,False,,False,False,True,False
node_modules/@eslint-community/eslint-utils,@eslint-community/eslint-utils,4.10.1,False,,True,False,False,False
node_modules/@eslint-community/eslint-utils/node_modules/eslint-visitor-keys,eslint-visitor-keys,3.4.3,False,,True,False,False,False
node_modules/@eslint-community/regexpp,@eslint-community/regexpp,4.12.2,False,,True,False,False,False
node_modules/@eslint/config-array,@eslint/config-array,0.21.2,False,,True,False,False,False
node_modules/@eslint/config-helpers,@eslint/config-helpers,0.4.2,False,,True,False,False,False
